id,name,artists,time_signature,tempo,valence,liveness,instrumentalness,acousticness,speechiness,mode,loudness,key,energy,danceability
2t8yVaLvJ0RenpXUIAC52d,a lot,21 Savage,4,145.972,0.274,0.342,0.00125,0.0395,0.086,1,-7.643,1,0.636,0.837
0e7ipj03S05BNilyu5bRzt,rockstar (feat. 21 Savage),Post Malone,4,159.847,0.14,0.131,6.56e-05,0.117,0.0898,0,-6.09,5,0.535,0.587
7pMRoGLEJuFM2wl5pt0R99,Legacy (feat. Travis Scott & 21 Savage),Offset,4,128.085,0.344,0.0845,0,0.178,0.335,1,-8.769,1,0.513,0.844
0AluA5RNsa4Cx6XRhf2hWZ,10 Freaky Girls (with 21 Savage),Metro Boomin,4,88.031,0.0727,0.102,0,0.588,0.31,0,-9.931,6,0.353,0.81
2fQrGHiQOvpL9UgPvtYy6G,Bank Account,21 Savage,4,75.016,0.376,0.0871,7.04e-06,0.0151,0.351,0,-8.228,8,0.346,0.884
2FUNBaa5DwItJtYEBgAblU,monster,21 Savage,4,134.022,0.224,0.118,0.000228,0.158,0.124,0,-6.916,9,0.607,0.89
2Grb4G6t9VIqo6moKUloom,Don't Come Out The House (with 21 Savage),Metro Boomin,4,74.963,0.175,0.108,0.000483,0.00661,0.277,1,-6.082,1,0.35,0.87
6fwdbPMwP1zVStm8FybmkO,X (feat. Future),21 Savage,4,149.004,0.111,0.101,0.00133,0.373,0.396,1,-9.81,1,0.413,0.835
4paAidoE8VAemwU4jgCc6l,all my friends,21 Savage,4,130.09,0.206,0.118,1.16e-06,0.171,0.0422,1,-4.513,0,0.62,0.713
5u6vkDnOyaf8LsteDAj2ub,Ghostface Killers,21 Savage,4,82.994,0.243,0.342,1.3e-05,0.331,0.155,1,-7.033,2,0.436,0.782
3edzl4zvKFi0D3iuF6cs2f,PASS OUT (feat. 21 Savage),Quavo,4,143.038,0.441,0.195,0,0.0403,0.208,0,-4.921,11,0.786,0.917
4gmmRb6bZJffOOiww1JGTO,No Heart,21 Savage,4,140.063,0.678,0.173,6.44e-05,0.136,0.384,0,-8.692,4,0.444,0.906
0hPLZrnDgtKxrym1BHjDhd,can't leave without it,21 Savage,4,131.982,0.696,0.144,0,0.111,0.359,0,-6.952,6,0.591,0.872
0tdCy39PgWN8LFWu34ORn3,Rap Saved Me,21 Savage,4,143.049,0.148,0.102,0.74,0.00525,0.309,1,-7.509,1,0.399,0.845
42k9e2hgl98IdgkXLg4pxs,"No More (feat. Travis Scott, Kodak Black & 21 Savage)",Metro Boomin,4,82.309,0.196,0.339,0,0.413,0.329,0,-7.26,11,0.501,0.636
1vc2YF7ZvUtwr45HNpdGch,Numb,21 Savage,4,82.008,0.464,0.131,2.75e-06,0.0438,0.285,0,-11.344,5,0.437,0.839
2wOXxtHZgRkkrkEbKLzzqs,1.5,21 Savage,4,84.022,0.306,0.454,1.16e-06,0.000244,0.359,1,-8.353,1,0.52,0.885
1u0CD4fcBUB1xrG9fNgejh,Clout (feat. 21 Savage),Ty Dolla $ign,4,160.976,0.715,0.337,5.42e-05,0.136,0.205,0,-6.939,10,0.728,0.88
2D2w9943rsnJOGCrI4aMQp,My Choppa Hate Niggas,21 Savage,4,77.493,0.146,0.183,0.185,0.0974,0.484,0,-5.818,0,0.274,0.862
4BHzHISX21PYwGXiBEUQ70,BBO (Bad Bitches Only),Migos,4,161.955,0.493,0.217,1.38e-06,0.044,0.0638,0,-5.79,4,0.774,0.804
50a8bKqlwDEqeiEknrzkTO,ball w/o you,21 Savage,4,137.994,0.459,0.139,0.000189,0.0467,0.0902,1,-7.471,8,0.633,0.892
4B8vU5oDXVxO5OkLAI4aLx,out for the night - part 2,21 Savage,4,173.369,0.0789,0.64,0,0.0133,0.541,0,-5.381,6,0.632,0.593
7sB2rmolvEt77KFPCraSNc,Rover 2.0,BlocBoy JB,4,140.09,0.806,0.126,0,0.189,0.302,0,-5.467,9,0.781,0.914
6HR1z11h0ROUlWP4Kx8Z7G,Mad Stalkers,21 Savage,4,135.003,0.136,0.179,0.185,0.147,0.235,0,-6.395,10,0.365,0.9
1nO2NjuFkGaAWcMdJ1pNrp,Cocky (feat. London On Da Track),A$AP Rocky,4,156.015,0.577,0.109,0,0.223,0.238,1,-4.815,5,0.633,0.797
7d19457woBxmPRCq255YqM,The Race - Remix,Tay-K,4,160.084,0.377,0.156,0,0.00619,0.358,1,-6.288,9,0.548,0.75
3IHZc2GclRu5nJpTqty7MY,"Gucci On My (feat. 21 Savage, YG & Migos)",Mike WiLL Made-It,4,140.004,0.0886,0.152,8.11e-06,0.173,0.23,1,-5.133,1,0.359,0.934
2vaMWMPMgsWX4fwJiKmdWm,Undefeated (feat. 21 Savage),A Boogie Wit da Hoodie,4,169.857,0.631,0.158,0,0.293,0.311,0,-4.609,7,0.753,0.717
2aNdXtCtyoB2KrUh7pJYxO,Whole Lot,21 Savage,4,123.02,0.223,0.115,0.00286,0.188,0.245,0,-9.79,6,0.537,0.916
3oxCefEI6Tc6Z6t20J4IvH,Disrespectful,21 Savage,4,158.021,0.0488,0.135,3.12e-06,0.354,0.464,1,-7.147,1,0.381,0.799
3cqZH3cqvfbV8wVbvHyPbG,Red Opps,21 Savage,4,140.998,0.569,0.127,0,0.00908,0.402,1,-6.452,9,0.709,0.703
3Ee6DIAcyueyz2wOe81vc3,Now (feat. 21 Savage),Young Thug,4,130.016,0.0971,0.094,2.48e-06,0.000209,0.331,1,-7.422,6,0.353,0.968
55GLc4nywcX4aIlOcx1u06,FaceTime,21 Savage,4,93.024,0.383,0.107,0,0.219,0.306,1,-11.115,10,0.624,0.701
0UNeNA0dcfUMsGxvLwf2p3,Pay You Back (feat. 21 Savage),Meek Mill,4,85.047,0.23,0.411,0,0.03,0.229,1,-5.169,9,0.694,0.821
6m6Oy3F6GG0zRwH03rWmTv,Still Serving,21 Savage,4,115.951,0.656,0.112,9.54e-05,0.413,0.0727,1,-6.827,5,0.544,0.926
52hRcWmjRNFuVJv3Qi7EeF,Savage Mode,21 Savage,4,143.041,0.0708,0.106,0.00105,0.199,0.283,0,-9.335,0,0.359,0.782
